1380038022973,33,Delete Loop Participant,200,OK,Test + nqtemp 1-1,text,true,308,33
1380038023010,34,Get User Profiles List,200,OK,Test + nqtemp 1-1,text,true,9067,25
1380038023056,62,Create a new individual profile,200,OK,Test + nqtemp 1-1,text,true,418,62
1380038023123,25,Get a Profile,200,OK,Test + nqtemp 1-1,text,true,418,25
1380038023152,16,Update Team Invitation - ???,400,Bad Request,Test + nqtemp 1-1,text,false,303,16
1380038023173,22,Withdraw Team Invitation,200,OK,Test + nqtemp 1-1,text,true,309,22
1380038023199,24,Switch to Admin profile,200,OK,Test + nqtemp 1-1,text,true,1170,24
1380038023224,77,New Document Tag,200,OK,Test + nqtemp 1-1,text,true,429,77
1380038023302,46,New Loop Tag,200,OK,Test + nqtemp 1-1,text,true,409,46
1380038023349,20,Get Tag for Profile,200,OK,Test + nqtemp 1-1,text,true,3062,17
1380038023369,25,Get Loop Tags,200,OK,Test + nqtemp 1-1,text,true,375,25
1380038023395,23,Get Document Tags,200,OK,Test + nqtemp 1-1,text,true,431,23
1380038023419,40,Get Document Tags for Profile,200,OK,Test + nqtemp 1-1,text,true,1057,40
1380038023459,62,Get Loop Tags for Profile ,200,OK,Test + nqtemp 1-1,text,true,2037,62
1380038023521,42,Remove Document Tag,200,OK,Test + nqtemp 1-1,text,true,308,42
1380038023563,35,Remove Loop Tag,200,OK,Test + nqtemp 1-1,text,true,308,35
1380038023599,36,Switch to Normal profile,200,OK,Test + nqtemp 1-1,text,true,516,36
1380038023636,147,Get User Notifications,200,OK,Test + nqtemp 1-1,text,true,6813,141
1380038023784,35,Get User Notifications for Loop,200,OK,Test + nqtemp 1-1,text,true,403,35
1380038023819,30,Get User Message Notifications for Loop,200,OK,Test + nqtemp 1-1,text,true,331,30
1380038023849,25,Get User Notifications Count,200,OK,Test + nqtemp 1-1,text,true,318,25
1380038023875,33,Get User Notifications Count for Loop,200,OK,Test + nqtemp 1-1,text,true,318,33
1380038023909,17,Get Notification Counts for Profiles,200,OK,Test + nqtemp 1-1,text,true,367,17
1380038023926,38,Add Contact,200,OK,Test + nqtemp 1-1,text,true,2853,37
1380038023968,48,Get Contact,200,OK,Test + nqtemp 1-1,text,true,654,48
1380038024020,40,update Contact,200,OK,Test + nqtemp 1-1,text,true,636,40
1380038024064,32,Get All Contacts,200,OK,Test + nqtemp 1-1,text,true,3358,30
1380038024107,25,delete Contact,200,OK,Test + nqtemp 1-1,text,true,308,25
1380038024136,41,New Clause,200,OK,Test + nqtemp 1-1,text,true,422,41
1380038024182,25,Get Clause,200,OK,Test + nqtemp 1-1,text,true,603,25
1380038024214,26,Update Clause,200,OK,Test + nqtemp 1-1,text,true,461,26
1380038024244,22,Delete Clause,200,OK,Test + nqtemp 1-1,text,true,308,22
1380038024270,49,Create New Conversation,200,OK,Test + nqtemp 1-1,text,true,404,49
1380038024350,19,Create New Message,405,Method Not Allowed,Test + nqtemp 1-1,text,false,1309,19
1380038024370,19,Create New Compliance Message,200,OK,Test + nqtemp 1-1,text,true,308,19
1380038024389,56,Create New Message and Conversation ,200,OK,Test + nqtemp 1-1,text,true,531,56
1380038024446,53,Get list of Conversations,200,OK,Test + nqtemp 1-1,text,true,553,53
1380038024500,61,Get single Conversation ,200,OK,Test + nqtemp 1-1,text,true,455,61
1380038024562,27,Get Conversation Counts,200,OK,Test + nqtemp 1-1,text,true,332,27
1380038024590,42,Get Conversation Messages,200,OK,Test + nqtemp 1-1,text,true,541,42
1380038024632,30,Get Loop Task Lists,200,OK,Test + nqtemp 1-1,text,true,308,30
1380038024663,25,Get Profile Tasks,200,OK,Test + nqtemp 1-1,text,true,308,25
1380038024688,24,Create New Task List,200,OK,Test + nqtemp 1-1,text,true,367,24
1380038024713,28,Update Task List,200,OK,Test + nqtemp 1-1,text,true,368,28
1380038024742,43,Create New Task,200,OK,Test + nqtemp 1-1,text,true,412,43
1380038024786,33,Update Task,200,OK,Test + nqtemp 1-1,text,true,377,33
1380038024819,23,Update Tasks (Bulk),200,OK,Test + nqtemp 1-1,text,true,308,23
1380038024842,29,Create New Global Task,200,OK,Test + nqtemp 1-1,text,true,479,29
1380038024871,28,Update Global Task ,200,OK,Test + nqtemp 1-1,text,true,346,28
1380038024900,35,Add Task Assignee,200,OK,Test + nqtemp 1-1,text,true,392,35
1380038025041,309,Logout Not REST,302,Found,Test + nqtemp 1-1,,true,240,309
